dataset,seed,method,window_id,A_r,B_r,U_r,m_by_client
sensorscope,30001,raven,10,"[""client-000"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-006"", ""client-007""]","[""client-000"", ""client-006"", ""client-007""]","{""client-000"": 4.132242580855193, ""client-001"": 37.58221076922224, ""client-002"": 2.0661212904275965, ""client-003"": 3.380925747972431, ""client-006"": 11.076912711608779, ""client-007"": 0.7513168328827625}"
sensorscope,30001,raven,11,"[""client-006"", ""client-007""]","[""client-000"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-006"", ""client-007""]","{""client-000"": 20.0, ""client-002"": 16.859355786654618, ""client-003"": 1.5326687078776926, ""client-004"": 5.6333796547413275, ""client-005"": 1.5022345745976875, ""client-006"": 5.364340477571923, ""client-007"": 6.00893829839075}"
sensorscope,30001,raven,12,"[""client-001"", ""client-002""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-002""]","{""client-000"": 8.101375551023505, ""client-001"": 4.3823146248817, ""client-002"": 8.101375551023505, ""client-003"": 2.2094660593700466, ""client-005"": 2.2094660593700475, ""client-006"": 5.155420805196775, ""client-007"": 0.7364886864566824}"
sensorscope,30001,raven,13,"[""client-003"", ""client-006"", ""client-007""]","[""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-003"", ""client-006"", ""client-007""]","{""client-001"": 8.611336390037264, ""client-003"": 2.163854672582921, ""client-004"": 0.9016061135762172, ""client-005"": 0.9568151544485851, ""client-006"": 10.04655912171014, ""client-007"": 1.4425697817219476}"
sensorscope,30001,raven,14,"[""client-000"", ""client-003"", ""client-004"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-003"", ""client-004"", ""client-006""]","{""client-000"": 2.0032528834039, ""client-001"": 9.834150518528237, ""client-002"": 7.950963260945592, ""client-003"": 8.673778102849736, ""client-004"": 1.8211389849126365, ""client-005"": 6.16743737793984, ""client-006"": 3.373135928886008, ""client-007"": 13.128109114281251}"
sensorscope,30001,raven,15,"[""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-007""]","{""client-000"": 3.9024270397565406, ""client-001"": 4.125097723018054, ""client-002"": 5.041786105910954, ""client-003"": 1.3750325743393512, ""client-004"": 7.095321890466438, ""client-005"": 0.3547660945233219, ""client-006"": 1.2416813308316264, ""client-007"": 3.6667535315716036}"
sensorscope,30001,raven,16,"[""client-003"", ""client-005"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-003"", ""client-005"", ""client-007""]","{""client-000"": 22.66574251407924, ""client-001"": 3.1921523116024546, ""client-002"": 1.9507597459792778, ""client-003"": 1.3517836456523424, ""client-004"": 4.505945485507809, ""client-005"": 2.7713000368030003, ""client-006"": 1.5770809199277327, ""client-007"": 2.8374687214244045}"
sensorscope,30001,raven,17,"[""client-000"", ""client-001"", ""client-003"", ""client-005""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-003"", ""client-005""]","{""client-000"": 11.766793026505002, ""client-001"": 3.2091253708650007, ""client-002"": 3.922264342168334, ""client-003"": 1.0697084569550002, ""client-004"": 2.233482822301744, ""client-005"": 2.647069129870515, ""client-006"": 1.2479931997808333, ""client-007"": 2.8525558852133344}"
sensorscope,30001,raven,18,"[""client-000"", ""client-001""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001""]","{""client-000"": 4.873572690415517, ""client-001"": 6.414996986799781, ""client-003"": 2.658312376590282, ""client-004"": 1.7819436074443837, ""client-005"": 0.44305206276504705, ""client-006"": 3.101364439355329, ""client-007"": 1.7722082510601882}"
sensorscope,30001,raven,19,"[""client-004"", ""client-007""]","[""client-000"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-007""]","[""client-004"", ""client-007""]","{""client-000"": 2.4447026648052206, ""client-002"": 2.4447026648052206, ""client-003"": 7.929876873560314, ""client-004"": 2.2224569680047463, ""client-005"": 0.7140817771497305, ""client-007"": 2.856327108598922}"
sensorscope,30001,raven,20,"[""client-001"", ""client-002""]","[""client-000"", ""client-001"", ""client-002"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-002""]","{""client-000"": 3.9622578322142927, ""client-001"": 1.62092365863312, ""client-002"": 7.439328894497127, ""client-004"": 2.2543420892415535, ""client-005"": 0.3602052574740267, ""client-006"": 1.260718401159093, ""client-007"": 3.6069473427864858}"
sensorscope,30001,raven,21,"[""client-000"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-005"", ""client-006"", ""client-007""]","{""client-000"": 4.992560419461375, ""client-001"": 4.084822161377489, ""client-002"": 4.992560419461375, ""client-003"": 6.532173964750674, ""client-004"": 3.628985535972597, ""client-005"": 2.177391321583558, ""client-006"": 1.588541951646801, ""client-007"": 1.4515942143890388}"
sensorscope,30001,raven,22,"[""client-004""]","[""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-004""]","{""client-001"": 24.227345707703634, ""client-003"": 2.167434933399488, ""client-004"": 2.7092936667493603, ""client-005"": 1.8046201583429844, ""client-006"": 5.0573481779321385, ""client-007"": 0.7224783111331629}"
sensorscope,30001,raven,23,"[""client-003"", ""client-007""]","[""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-003"", ""client-007""]","{""client-001"": 4.0502332997949875, ""client-002"": 11.060005099896767, ""client-003"": 1.3500777665983292, ""client-004"": 2.2501296109972158, ""client-005"": 0.36079333776899053, ""client-006"": 1.2627766821914665, ""client-007"": 2.700155533196659}"
sensorscope,30001,raven,24,"[""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-007""]","{""client-000"": 7.954401263405171, ""client-001"": 3.2540732441202977, ""client-002"": 14.616237797248596, ""client-004"": 3.615636937911442, ""client-005"": 0.9038437521465433, ""client-006"": 3.7964187848070132, ""client-007"": 0.7231273875822885}"
sensorscope,30001,raven,25,"[""client-002"", ""client-003""]","[""client-000"", ""client-002"", ""client-003"", ""client-004"", ""client-007""]","[""client-002"", ""client-003""]","{""client-000"": 14.538859502798703, ""client-002"": 5.966522663336704, ""client-003"": 6.508933814549132, ""client-004"": 2.7120557560621386, ""client-007"": 1.8051699081457773}"
sensorscope,30001,raven,26,"[""client-000"", ""client-004""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005""]","[""client-000"", ""client-004""]","{""client-000"": 3.964282460789014, ""client-001"": 1.621751915777324, ""client-002"": 2.474700305367369, ""client-003"": 4.324671775406197, ""client-004"": 13.419581251744226, ""client-005"": 0.8998910201335889}"
sensorscope,30001,raven,27,"[""client-002"", ""client-003"", ""client-004"", ""client-006""]","[""client-000"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006""]","[""client-002"", ""client-003"", ""client-004"", ""client-006""]","{""client-000"": 29.36071028832056, ""client-002"": 1.988325031276657, ""client-003"": 1.3572839769814005, ""client-004"": 4.524279923271336, ""client-005"": 0.9048559846542672, ""client-006"": 7.5917864830563255}"
sensorscope,30001,raven,28,"[""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-005"", ""client-006"", ""client-007""]","{""client-000"": 3.978992416309693, ""client-003"": 7.925711968716041, ""client-004"": 1.128329655092108, ""client-005"": 0.7234531666017624, ""client-006"": 3.159323034257902, ""client-007"": 1.8053274481473731}"
sensorscope,30001,raven,29,"[""client-000"", ""client-001""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001""]","{""client-000"": 4.998239171061772, ""client-001"": 8.178936825373809, ""client-003"": 12.254712179496245, ""client-004"": 1.8122377538944088, ""client-005"": 0.9087707583748678, ""client-006"": 18.84286197745736, ""client-007"": 10.767349701404209}"
sensorscope,30001,raven,30,"[""client-004"", ""client-006""]","[""client-000"", ""client-002"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-004"", ""client-006""]","{""client-000"": 9.85164765590448, ""client-002"": 7.388735741928361, ""client-004"": 1.7989427743716084, ""client-005"": 1.7912086647099057, ""client-006"": 9.403845489727004, ""client-007"": 1.4391542194972868}"
sensorscope,30001,raven,31,"[""client-002""]","[""client-000"", ""client-001"", ""client-002"", ""client-005"", ""client-006""]","[""client-002""]","{""client-000"": 3.967096757570217, ""client-001"": 9.737419314035987, ""client-002"": 13.782271286804681, ""client-005"": 0.8873719821423837, ""client-006"": 2.524516118453774}"
sensorscope,30001,raven,32,"[""client-000"", ""client-002"", ""client-003""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-002"", ""client-003""]","{""client-000"": 9.832253087212653, ""client-001"": 4.022285353859722, ""client-002"": 2.001502564298874, ""client-003"": 2.183457342871499, ""client-005"": 0.893841189746605, ""client-006"": 8.786437554937205, ""client-007"": 5.020821459964118}"
sensorscope,30001,raven,33,"[""client-002"", ""client-003"", ""client-004"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-002"", ""client-003"", ""client-004"", ""client-006""]","{""client-000"": 7.410247156022146, ""client-001"": 4.041952994193898, ""client-002"": 13.947859663568604, ""client-003"": 2.694635329462599, ""client-004"": 6.736588323656497, ""client-005"": 0.898211776487533, ""client-006"": 2.5542479892654497, ""client-007"": 0.898211776487533}"
sensorscope,30001,raven,34,"[""client-000"", ""client-001"", ""client-004"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-004"", ""client-006""]","{""client-000"": 9.764591795731716, ""client-001"": 1.628497748171988, ""client-002"": 2.441147948932929, ""client-004"": 2.219225408120845, ""client-005"": 0.887690163248338, ""client-006"": 6.213831142738365, ""client-007"": 4.972351307105525}"
sensorscope,30001,raven,35,"[""client-007""]","[""client-001"", ""client-002"", ""client-005"", ""client-006"", ""client-007""]","[""client-007""]","{""client-001"": 1.62762789432178, ""client-002"": 2.442233670450338, ""client-005"": 0.36169508762706226, ""client-006"": 9.083393955955724, ""client-007"": 2.893560701016498}"
sensorscope,30001,raven,36,"[""client-000""]","[""client-000"", ""client-001"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-000""]","{""client-000"": 2.0072420649353253, ""client-001"": 3.284577924439623, ""client-003"": 8.758874465172328, ""client-005"": 0.7299062054310275, ""client-006"": 8.897070050341549, ""client-007"": 5.393560884577224}"
sensorscope,30001,raven,37,"[""client-001"", ""client-005""]","[""client-001"", ""client-002"", ""client-004"", ""client-005"", ""client-006""]","[""client-001"", ""client-005""]","{""client-001"": 3.2925069643254807, ""client-002"": 4.024175178620032, ""client-004"": 1.1262545463673117, ""client-005"": 0.9010036370938496, ""client-006"": 7.682516250092787}"
sensorscope,30001,raven,38,"[""client-007""]","[""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-007""]","{""client-002"": 2.0225765926484436, ""client-003"": 2.7113069415460203, ""client-004"": 12.695588333053465, ""client-005"": 0.9037689805153402, ""client-006"": 8.886911833137423, ""client-007"": 0.735482397326707}"
sensorscope,30001,raven,39,"[""client-000"", ""client-002"", ""client-004""]","[""client-000"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-007""]","[""client-000"", ""client-002"", ""client-004""]","{""client-000"": 4.987249642432644, ""client-002"": 4.069448179193395, ""client-003"": 2.219699006832761, ""client-004"": 3.699498344721268, ""client-005"": 0.9067726622604809, ""client-007"": 5.057615985938551}"
sensorscope,30001,raven,40,"[""client-000"", ""client-001"", ""client-004""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004""]","[""client-000"", ""client-001"", ""client-004""]","{""client-000"": 4.087700685140788, ""client-001"": 4.086105921491463, ""client-002"": 10.872386227846864, ""client-003"": 1.1148274595838514, ""client-004"": 4.54011769054607}"
sensorscope,30001,raven,41,"[""client-002"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-002"", ""client-005"", ""client-006"", ""client-007""]","{""client-000"": 15.102431802033298, ""client-001"": 2.059422518459086, ""client-002"": 2.5170719670055495, ""client-003"": 7.569340755788448, ""client-004"": 3.7495519299119664, ""client-005"": 0.7499103859823933, ""client-006"": 5.249372701876752, ""client-007"": 3.661195588371709}"
sensorscope,30001,raven,42,"[""client-000"", ""client-001"", ""client-002""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006""]","[""client-000"", ""client-001"", ""client-002""]","{""client-000"": 10.044445800267988, ""client-001"": 2.0545457318729974, ""client-002"": 6.178298645780997, ""client-003"": 2.739394309163997, ""client-004"": 2.2828285909699972, ""client-005"": 2.511145934589874, ""client-006"": 3.195960027357996}"
sensorscope,30001,raven,43,[],"[""client-000"", ""client-001"", ""client-003"", ""client-005"", ""client-007""]",[],"{""client-000"": 9.974871719035246, ""client-001"": 22.37491461102973, ""client-003"": 7.4583048703432455, ""client-005"": 1.4895295801539603, ""client-007"": 3.9320625233903916}"
sensorscope,30001,raven,44,"[""client-003"", ""client-004""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-006""]","[""client-003"", ""client-004""]","{""client-000"": 27.3109313151863, ""client-001"": 3.362483580298563, ""client-002"": 14.993217842573598, ""client-003"": 10.904158430962617, ""client-004"": 0.934023216749601, ""client-006"": 1.590189771182048}"
sensorscope,30001,raven,45,"[""client-002"", ""client-004""]","[""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006""]","[""client-002"", ""client-004""]","{""client-002"": 2.048814908013376, ""client-003"": 2.2350708087418654, ""client-004"": 6.758473484960053, ""client-005"": 0.7450236029139552, ""client-006"": 2.6075826101988424}"
sensorscope,30001,raven,46,"[""client-001"", ""client-002"", ""client-005""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-002"", ""client-005""]","{""client-000"": 2.069498981867165, ""client-001"": 3.3864528794189974, ""client-002"": 16.55599185493732, ""client-003"": 2.717331675488142, ""client-004"": 3.3966645943601774, ""client-005"": 0.3762725421576664, ""client-006"": 2.6339077951036645, ""client-007"": 3.0101803372613314}"
sensorscope,30001,raven,47,"[""client-002"", ""client-006""]","[""client-001"", ""client-002"", ""client-005"", ""client-006"", ""client-007""]","[""client-002"", ""client-006""]","{""client-001"": 8.102632300337195, ""client-002"": 4.951608627983841, ""client-005"": 0.37569953117774774, ""client-006"": 3.1510236723533533, ""client-007"": 4.508394374132973}"
sensorscope,30001,raven,48,"[""client-000"", ""client-001"", ""client-002"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-006"", ""client-007""]","{""client-000"": 4.143480377232044, ""client-001"": 1.6950601543222, ""client-002"": 26.22844656826912, ""client-003"": 7.153212700437035, ""client-005"": 0.7533600685876445, ""client-006"": 1.5814222268699976, ""client-007"": 0.7533600685876445}"
sensorscope,30001,raven,49,"[""client-004"", ""client-005""]","[""client-000"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-004"", ""client-005""]","{""client-000"": 2.0728751404713646, ""client-003"": 2.2613183350596704, ""client-004"": 7.537727783532236, ""client-005"": 0.7537727783532236, ""client-006"": 3.1611350543796184, ""client-007"": 1.8063628882169251}"
sensorscope,30001,raven,50,"[""client-001"", ""client-006""]","[""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-006"", ""client-007""]","[""client-001"", ""client-006""]","{""client-001"": 6.785933295252383, ""client-002"": 26.322660587771757, ""client-003"": 14.357814866057325, ""client-004"": 1.88498147090344, ""client-006"": 2.6389740592648154, ""client-007"": 3.858754470470843}"
sensorscope,30001,raven,51,"[""client-001"", ""client-002"", ""client-004"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-002"", ""client-004"", ""client-007""]","{""client-000"": 19.86070490439673, ""client-001"": 6.776697391710962, ""client-002"": 4.9651762260991825, ""client-004"": 0.941207971070967, ""client-005"": 0.45137965691810755, ""client-006"": 8.966620120437117, ""client-007"": 3.6110372553448604}"
sensorscope,30001,raven,52,"[""client-001"", ""client-005"", ""client-007""]","[""client-001"", ""client-002"", ""client-003"", ""client-005"", ""client-007""]","[""client-001"", ""client-005"", ""client-007""]","{""client-001"": 3.3840064039861786, ""client-002"": 8.272015654188436, ""client-003"": 7.626676711456818, ""client-005"": 5.084451140971211, ""client-007"": 3.59568908941549}"
sensorscope,30001,raven,53,"[""client-002"", ""client-003"", ""client-006"", ""client-007""]","[""client-000"", ""client-002"", ""client-003"", ""client-006"", ""client-007""]","[""client-002"", ""client-003"", ""client-006"", ""client-007""]","{""client-000"": 2.0741903928430325, ""client-002"": 12.445142357058195, ""client-003"": 4.059680043565569, ""client-006"": 1.5787644613866103, ""client-007"": 1.5085021038858422}"
sensorscope,30001,raven,54,"[""client-000"", ""client-005""]","[""client-000"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-007""]","[""client-000"", ""client-005""]","{""client-000"": 2.4873782533155695, ""client-002"": 14.09665771064, ""client-003"": 2.265966314171526, ""client-004"": 4.5225059151192175, ""client-005"": 1.5106442094476842, ""client-007"": 5.126057349323638}"
sensorscope,30001,raven,55,"[""client-004"", ""client-005""]","[""client-000"", ""client-001"", ""client-002"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-004"", ""client-005""]","{""client-000"": 4.163460341044157, ""client-001"": 2.04142556423381, ""client-002"": 26.271432710138487, ""client-004"": 4.536501253852912, ""client-005"": 0.4536501253852912, ""client-006"": 9.007084350410516, ""client-007"": 1.513985578561512}"
sensorscope,30001,raven,56,"[""client-001"", ""client-005""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-005""]","{""client-000"": 8.32071711034473, ""client-001"": 8.675734203793864, ""client-002"": 4.160358555172365, ""client-003"": 11.567645605058487, ""client-004"": 6.798463530005971, ""client-005"": 2.7193854120023886, ""client-006"": 8.348160425725506, ""client-007"": 1.512857656426315}"
sensorscope,30001,raven,57,"[""client-000"", ""client-002"", ""client-004""]","[""client-000"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-002"", ""client-004""]","{""client-000"": 7.41731180588602, ""client-002"": 4.944874537257347, ""client-003"": 1.3486021465247309, ""client-004"": 1.8805196993011122, ""client-005"": 0.44953404884157705, ""client-006"": 4.720107512836558, ""client-007"": 2.697204293049462}"
sensorscope,30001,raven,58,"[""client-000"", ""client-003"", ""client-004"", ""client-005""]","[""client-000"", ""client-001"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-003"", ""client-004"", ""client-005""]","{""client-000"": 9.86265278293906, ""client-001"": 8.06944318604105, ""client-003"": 14.036742305217777, ""client-004"": 4.483023992245028, ""client-005"": 1.7932095968980113, ""client-006"": 5.256512127655038, ""client-007"": 4.678914101739258}"
sensorscope,30001,raven,59,"[""client-001"", ""client-004"", ""client-005"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-001"", ""client-004"", ""client-005"", ""client-007""]","{""client-000"": 2.0582921719291085, ""client-001"": 6.736228926313446, ""client-002"": 4.116584343858217, ""client-003"": 2.245409642104482, ""client-004"": 2.2239569748107515, ""client-005"": 0.748469880701494, ""client-006"": 3.1135397647350516, ""client-007"": 4.591162479926552}"
sensorscope,30001,raven,60,[],"[""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005""]",[],"{""client-001"": 4.005767760590001, ""client-002"": 19.583753496217785, ""client-003"": 1.3352559201966672, ""client-004"": 2.225426533661112, ""client-005"": 2.282279286641241}"
sensorscope,30001,raven,61,"[""client-000"", ""client-002"", ""client-007""]","[""client-000"", ""client-002"", ""client-007""]","[""client-000"", ""client-002"", ""client-007""]","{""client-000"": 2.063621343528925, ""client-002"": 2.063621343528925, ""client-007"": 2.6661616762687848}"
sensorscope,30001,raven,62,"[""client-001"", ""client-006""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-006"", ""client-007""]","[""client-001"", ""client-006""]","{""client-000"": 9.878730033504928, ""client-001"": 3.411228821902518, ""client-002"": 2.0846398356070943, ""client-003"": 2.6941991000467986, ""client-004"": 9.423439863674098, ""client-006"": 24.118459180438734, ""client-007"": 1.7961327333645327}"
sensorscope,30001,raven,63,"[""client-000"", ""client-004""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-000"", ""client-004""]","{""client-000"": 9.850175839679952, ""client-001"": 20.432253681111586, ""client-002"": 30.878611708042957, ""client-003"": 6.810751227037197, ""client-004"": 1.8964239272222618, ""client-005"": 2.2702504090123985, ""client-006"": 1.5670734290399924, ""client-007"": 3.5818821235199834}"
sensorscope,30001,raven,64,"[""client-002""]","[""client-000"", ""client-002"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-002""]","{""client-000"": 12.142927483881413, ""client-002"": 4.1751248377304755, ""client-003"": 4.554681641160519, ""client-005"": 0.7591136068600866, ""client-006"": 1.5552291065405024, ""client-007"": 4.415609994138696}"
sensorscope,30001,raven,65,"[""client-001"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-007""]","[""client-001"", ""client-007""]","{""client-000"": 4.202214125134729, ""client-001"": 4.0107453345174, ""client-002"": 4.902022075521265, ""client-007"": 4.388447261765251}"
sensorscope,30001,raven,66,"[""client-002"", ""client-006""]","[""client-000"", ""client-002"", ""client-003"", ""client-005"", ""client-006"", ""client-007""]","[""client-002"", ""client-006""]","{""client-000"": 2.1219733823500526, ""client-002"": 8.48789352940021, ""client-003"": 1.3479010655933945, ""client-005"": 1.3479010655933945, ""client-006"": 2.700693395718248, ""client-007"": 4.62976010694557}"
sensorscope,30001,raven,67,"[""client-002"", ""client-005"", ""client-007""]","[""client-000"", ""client-001"", ""client-002"", ""client-003"", ""client-004"", ""client-005"", ""client-006"", ""client-007""]","[""client-002"", ""client-005"", ""client-007""]","{""client-000"": 4.954389239282764, ""client-001"": 10.464315784889312, ""client-002"": 2.477194619641382, ""client-003"": 4.650807015506361, ""client-004"": 2.251995108764893, ""client-005"": 0.7751345025843936, ""client-006"": 23.054682524544013, ""client-007"": 1.8015960870119143}"
